index,mse,step3,step4,Dataset,Status,Method
47,0.0006198239056919,0.0006198239056919,0.0006198239056919,MTM,Uncorrupted,HyperSteg-ImagNet-finetuned
48,0.0006393697322351,0.0006393697322351,0.0006393697322351,MTM,Uncorrupted,HyperSteg-ImagNet-finetuned
49,0.0005905733841703,0.0005905733841703,0.0005905733841703,MTM,Uncorrupted,HyperSteg-ImagNet-finetuned
50,0.0005935650095614,0.0005935650095614,0.0005935650095614,MTM,Uncorrupted,HyperSteg-ImagNet-finetuned
51,0.0005653015602391,0.0005653015602391,0.0005653015602391,MTM,Uncorrupted,HyperSteg-ImagNet-finetuned
52,0.0005897695794328,0.0005897695794328,0.0005897695794328,MTM,Uncorrupted,HyperSteg-ImagNet-finetuned
53,0.0005901366885432,0.0005901366885432,0.0005901366885432,MTM,Uncorrupted,HyperSteg-ImagNet-finetuned
54,0.000583201439253,0.000583201439253,0.000583201439253,MTM,Uncorrupted,HyperSteg-ImagNet-finetuned
55,0.0005652403928566,0.0005652403928566,0.0005652403928566,MTM,Uncorrupted,HyperSteg-ImagNet-finetuned
56,0.0005775578548278,0.0005775578548278,0.0005775578548278,MTM,Uncorrupted,HyperSteg-ImagNet-finetuned
57,0.0005368739231319,0.0005368739231319,0.0005368739231319,MTM,Uncorrupted,HyperSteg-ImagNet-finetuned
58,0.0005463207832902,0.0005463207832902,0.0005463207832902,MTM,Uncorrupted,HyperSteg-ImagNet-finetuned
59,0.0005627909386853,0.0005627909386853,0.0005627909386853,MTM,Uncorrupted,HyperSteg-ImagNet-finetuned
60,0.0005692015940829,0.0005692015940829,0.0005692015940829,MTM,Uncorrupted,HyperSteg-ImagNet-finetuned
61,0.0005429630602594,0.0005429630602594,0.0005429630602594,MTM,Uncorrupted,HyperSteg-ImagNet-finetuned
